Warning in <Fit>: Fit data is empty 
Warning in <Fit>: Fit data is empty 
Warning in <Fit>: Fit data is empty 
Bin 78 eta: -1.96 mean: 0.0004417 sigma: 0.0225907
Bin 79 eta: -1.944 mean: 0.000949648 sigma: 0.0222862
Bin 80 eta: -1.928 mean: -0.000645991 sigma: 0.0212882
Bin 81 eta: -1.912 mean: 0.000798123 sigma: 0.0203493
Bin 82 eta: -1.896 mean: 0.000382003 sigma: 0.0221014
Bin 83 eta: -1.88 mean: -0.000286936 sigma: 0.0211788
Bin 84 eta: -1.864 mean: 0.00105918 sigma: 0.0211634
Bin 85 eta: -1.848 mean: 0.000325305 sigma: 0.0208826
Bin 86 eta: -1.832 mean: 0.000478367 sigma: 0.0202274
Bin 87 eta: -1.816 mean: 0.000285359 sigma: 0.021414
Bin 88 eta: -1.8 mean: 0.00113021 sigma: 0.0213531
Bin 89 eta: -1.784 mean: 0.000116336 sigma: 0.0221911
Bin 90 eta: -1.768 mean: 0.00143241 sigma: 0.0221979
Bin 91 eta: -1.752 mean: 0.000472949 sigma: 0.0218674
Bin 92 eta: -1.736 mean: -0.000224245 sigma: 0.0217444
Bin 93 eta: -1.72 mean: 0.00185635 sigma: 0.022345
Bin 94 eta: -1.704 mean: 0.000942369 sigma: 0.022118
Bin 95 eta: -1.688 mean: 0.00156146 sigma: 0.0233948
Bin 96 eta: -1.672 mean: 0.00104574 sigma: 0.0228623
Bin 97 eta: -1.656 mean: 0.00201186 sigma: 0.0246734
Bin 98 eta: -1.64 mean: 0.000680433 sigma: 0.0234757
Bin 99 eta: -1.624 mean: 0.00159984 sigma: 0.0243705
Bin 100 eta: -1.608 mean: 0.000318582 sigma: 0.0223688
Bin 101 eta: -1.592 mean: -0.00143211 sigma: 0.0218884
Bin 102 eta: -1.576 mean: -0.000214036 sigma: 0.021671
Bin 103 eta: -1.56 mean: 0.000886397 sigma: 0.0212699
Bin 104 eta: -1.544 mean: -0.00173984 sigma: 0.0215632
Bin 105 eta: -1.528 mean: -0.00172353 sigma: 0.020222
Bin 106 eta: -1.512 mean: -0.000773792 sigma: 0.0199622
Bin 107 eta: -1.496 mean: -0.000689732 sigma: 0.0195965
Bin 108 eta: -1.48 mean: -0.000556111 sigma: 0.0191614
Bin 109 eta: -1.464 mean: -0.000901434 sigma: 0.0191597
Bin 110 eta: -1.448 mean: -0.000553854 sigma: 0.017795
Bin 111 eta: -1.432 mean: -0.000658006 sigma: 0.0183194
Bin 112 eta: -1.416 mean: -0.00108172 sigma: 0.0188815
Bin 113 eta: -1.4 mean: -0.00104502 sigma: 0.0179352
Bin 114 eta: -1.384 mean: -0.000799944 sigma: 0.0184528
Bin 115 eta: -1.368 mean: -0.000608803 sigma: 0.0176727
Bin 116 eta: -1.352 mean: -0.00010914 sigma: 0.0172042
Bin 117 eta: -1.336 mean: 6.06216e-06 sigma: 0.0184644
Bin 118 eta: -1.32 mean: -0.000246558 sigma: 0.0179988
Bin 119 eta: -1.304 mean: -0.00126342 sigma: 0.0171976
Bin 120 eta: -1.288 mean: 8.83875e-05 sigma: 0.0179455
Bin 121 eta: -1.272 mean: -0.000945303 sigma: 0.0185478
Bin 122 eta: -1.256 mean: -0.00110635 sigma: 0.0181396
Bin 123 eta: -1.24 mean: 4.42274e-05 sigma: 0.0176048
Bin 124 eta: -1.224 mean: 0.000490489 sigma: 0.0176173
Bin 125 eta: -1.208 mean: 2.9988e-05 sigma: 0.0189605
Bin 126 eta: -1.192 mean: -0.0015834 sigma: 0.0182121
Bin 127 eta: -1.176 mean: -0.0015298 sigma: 0.0193631
Bin 128 eta: -1.16 mean: 0.000338754 sigma: 0.0196482
Bin 129 eta: -1.144 mean: -0.00073334 sigma: 0.019428
Bin 130 eta: -1.128 mean: 0.000352069 sigma: 0.0202865
Bin 131 eta: -1.112 mean: -0.00020881 sigma: 0.0218456
Bin 132 eta: -1.096 mean: -0.000996629 sigma: 0.0214995
Bin 133 eta: -1.08 mean: 0.000966634 sigma: 0.0220164
Bin 134 eta: -1.064 mean: -0.000207736 sigma: 0.0207867
Bin 135 eta: -1.048 mean: -8.73527e-05 sigma: 0.0234082
Bin 136 eta: -1.032 mean: 0.000392143 sigma: 0.0231297
Bin 137 eta: -1.016 mean: -0.00021033 sigma: 0.0222653
Bin 138 eta: -1 mean: -0.000751621 sigma: 0.0214445
Bin 139 eta: -0.984 mean: -0.000512629 sigma: 0.0222829
Bin 140 eta: -0.968 mean: -0.00161825 sigma: 0.0222331
Bin 141 eta: -0.952 mean: -0.000670622 sigma: 0.0202376
Bin 142 eta: -0.936 mean: -0.000311898 sigma: 0.021102
Bin 143 eta: -0.92 mean: 0.000297149 sigma: 0.0191211
Bin 144 eta: -0.904 mean: -0.000717844 sigma: 0.019656
Bin 145 eta: -0.888 mean: -0.000994538 sigma: 0.0189754
Bin 146 eta: -0.872 mean: 6.09167e-05 sigma: 0.0193562
Bin 147 eta: -0.856 mean: -0.00112789 sigma: 0.0199505
Bin 148 eta: -0.84 mean: 0.00020446 sigma: 0.0198384
Bin 149 eta: -0.824 mean: 0.00103876 sigma: 0.0198903
Bin 150 eta: -0.808 mean: 0.00040408 sigma: 0.0192374
Bin 151 eta: -0.792 mean: 0.000175199 sigma: 0.0191698
Bin 152 eta: -0.776 mean: -0.000463962 sigma: 0.01929
Bin 153 eta: -0.76 mean: -0.000592978 sigma: 0.0198794
Bin 154 eta: -0.744 mean: -0.00100574 sigma: 0.017798
Bin 155 eta: -0.728 mean: -0.000157441 sigma: 0.0195028
Bin 156 eta: -0.712 mean: -0.0012832 sigma: 0.0193517
Bin 157 eta: -0.696 mean: 0.000483016 sigma: 0.0193154
Bin 158 eta: -0.68 mean: -0.000420265 sigma: 0.0195358
Bin 159 eta: -0.664 mean: -4.01563e-05 sigma: 0.0197754
Bin 160 eta: -0.648 mean: 0.00113752 sigma: 0.0202698
Bin 161 eta: -0.632 mean: -9.76005e-06 sigma: 0.0211253
Bin 162 eta: -0.616 mean: -0.000112718 sigma: 0.0229313
Bin 163 eta: -0.6 mean: 0.000352544 sigma: 0.0209665
Bin 164 eta: -0.584 mean: -0.000920785 sigma: 0.0209077
Bin 165 eta: -0.568 mean: -0.000268265 sigma: 0.0207512
Bin 166 eta: -0.552 mean: -2.22463e-05 sigma: 0.0197923
Bin 167 eta: -0.536 mean: -0.000354878 sigma: 0.0210956
Bin 168 eta: -0.52 mean: -5.93918e-05 sigma: 0.0184588
Bin 169 eta: -0.504 mean: -0.000436996 sigma: 0.0187787
Bin 170 eta: -0.488 mean: -0.000598034 sigma: 0.0184117
Bin 171 eta: -0.472 mean: -0.00045121 sigma: 0.0179292
Bin 172 eta: -0.456 mean: -0.00109101 sigma: 0.0182023
Bin 173 eta: -0.44 mean: 0.000645218 sigma: 0.0181056
Bin 174 eta: -0.424 mean: -0.000138722 sigma: 0.018216
Bin 175 eta: -0.408 mean: -0.000683676 sigma: 0.0177586
Bin 176 eta: -0.392 mean: 0.000500366 sigma: 0.0176915
Bin 177 eta: -0.376 mean: -0.000841858 sigma: 0.0172711
Bin 178 eta: -0.36 mean: 0.000421077 sigma: 0.0173376
Bin 179 eta: -0.344 mean: -6.27022e-05 sigma: 0.016841
Bin 180 eta: -0.328 mean: -0.000524499 sigma: 0.0182711
Bin 181 eta: -0.312 mean: 0.000185526 sigma: 0.0166366
Bin 182 eta: -0.296 mean: -0.000305519 sigma: 0.0174128
Bin 183 eta: -0.28 mean: -0.000503861 sigma: 0.0168608
Bin 184 eta: -0.264 mean: 7.05056e-05 sigma: 0.0166274
Bin 185 eta: -0.248 mean: -6.03123e-05 sigma: 0.0164535
Bin 186 eta: -0.232 mean: 0.000585191 sigma: 0.0169467
Bin 187 eta: -0.216 mean: -0.000282622 sigma: 0.0158591
Bin 188 eta: -0.2 mean: 0.000337101 sigma: 0.0172298
Bin 189 eta: -0.184 mean: -0.000206369 sigma: 0.0173305
Bin 190 eta: -0.168 mean: -0.000372756 sigma: 0.0173136
Bin 191 eta: -0.152 mean: -0.000113711 sigma: 0.0178102
Bin 192 eta: -0.136 mean: 0.000266106 sigma: 0.0181805
Bin 193 eta: -0.12 mean: -0.000564601 sigma: 0.0191199
Bin 194 eta: -0.104 mean: 0.00079941 sigma: 0.0188771
Bin 195 eta: -0.088 mean: 0.000773029 sigma: 0.01987
Bin 196 eta: -0.072 mean: 4.09189e-05 sigma: 0.0208885
Bin 197 eta: -0.056 mean: 0.000552166 sigma: 0.0226576
Bin 198 eta: -0.04 mean: -0.000743581 sigma: 0.022941
Bin 199 eta: -0.024 mean: 0.000249531 sigma: 0.0214613
Bin 200 eta: -0.008 mean: 0.000572563 sigma: 0.0220348
Bin 201 eta: 0.008 mean: 0.00041402 sigma: 0.0227257
Bin 202 eta: 0.024 mean: -0.00112766 sigma: 0.0221258
Bin 203 eta: 0.04 mean: 0.000437041 sigma: 0.0210615
Bin 204 eta: 0.056 mean: 0.00145159 sigma: 0.0225199
Bin 205 eta: 0.072 mean: 0.000127154 sigma: 0.0204371
Bin 206 eta: 0.088 mean: 0.00018531 sigma: 0.0192636
Bin 207 eta: 0.104 mean: 2.09637e-05 sigma: 0.0207369
Bin 208 eta: 0.12 mean: 0.000510762 sigma: 0.019065
Bin 209 eta: 0.136 mean: -0.0003474 sigma: 0.0188951
Bin 210 eta: 0.152 mean: -0.000488154 sigma: 0.0199757
Bin 211 eta: 0.168 mean: 0.00107395 sigma: 0.0186487
Bin 212 eta: 0.184 mean: 0.000657024 sigma: 0.0186335
Bin 213 eta: 0.2 mean: 0.000390814 sigma: 0.0176656
Bin 214 eta: 0.216 mean: 0.00119919 sigma: 0.0188395
Bin 215 eta: 0.232 mean: -0.000430397 sigma: 0.0172913
Bin 216 eta: 0.248 mean: 0.000498454 sigma: 0.0188025
Bin 217 eta: 0.264 mean: -0.000104758 sigma: 0.019362
Bin 218 eta: 0.28 mean: 0.000980446 sigma: 0.0181635
Bin 219 eta: 0.296 mean: 0.000891168 sigma: 0.0183436
Bin 220 eta: 0.312 mean: -0.000700353 sigma: 0.0181228
Bin 221 eta: 0.328 mean: 0.000232228 sigma: 0.018787
Bin 222 eta: 0.344 mean: 0.00125577 sigma: 0.0198443
Bin 223 eta: 0.36 mean: 0.000194691 sigma: 0.0189879
Bin 224 eta: 0.376 mean: -2.93195e-05 sigma: 0.0205266
Bin 225 eta: 0.392 mean: 0.00121263 sigma: 0.0208454
Bin 226 eta: 0.408 mean: 0.000333385 sigma: 0.0203675
Bin 227 eta: 0.424 mean: 0.000740054 sigma: 0.0214953
Bin 228 eta: 0.44 mean: -0.000234971 sigma: 0.0207714
Bin 229 eta: 0.456 mean: 0.00113267 sigma: 0.0225378
Bin 230 eta: 0.472 mean: -0.000463775 sigma: 0.0225726
Bin 231 eta: 0.488 mean: 0.000861142 sigma: 0.0238533
Bin 232 eta: 0.504 mean: -9.07373e-05 sigma: 0.0225334
Bin 233 eta: 0.52 mean: -0.00101584 sigma: 0.023558
Bin 234 eta: 0.536 mean: -0.00107156 sigma: 0.0232577
Bin 235 eta: 0.552 mean: -0.000336428 sigma: 0.0211824
Bin 236 eta: 0.568 mean: -0.000247072 sigma: 0.0224134
Bin 237 eta: 0.584 mean: 0.000746367 sigma: 0.0238229
Bin 238 eta: 0.6 mean: -0.000206756 sigma: 0.0222358
Bin 239 eta: 0.616 mean: 0.000279015 sigma: 0.0227097
Bin 240 eta: 0.632 mean: -2.47115e-05 sigma: 0.0221015
Bin 241 eta: 0.648 mean: -0.000610865 sigma: 0.0221093
Bin 242 eta: 0.664 mean: -0.000472001 sigma: 0.0210196
Bin 243 eta: 0.68 mean: 2.09464e-05 sigma: 0.0230724
Bin 244 eta: 0.696 mean: 0.000696686 sigma: 0.0216342
Bin 245 eta: 0.712 mean: 0.00053379 sigma: 0.0216117
Bin 246 eta: 0.728 mean: 7.77326e-05 sigma: 0.0208929
Bin 247 eta: 0.744 mean: 0.000775222 sigma: 0.0194149
Bin 248 eta: 0.76 mean: 0.00105924 sigma: 0.0193464
Bin 249 eta: 0.776 mean: 0.000312322 sigma: 0.0179453
Bin 250 eta: 0.792 mean: 0.00108264 sigma: 0.0195376
Bin 251 eta: 0.808 mean: -0.000146237 sigma: 0.0192637
Bin 252 eta: 0.824 mean: 0.00133457 sigma: 0.0187492
Bin 253 eta: 0.84 mean: 5.74957e-07 sigma: 0.0195143
Bin 254 eta: 0.856 mean: 0.000348536 sigma: 0.0186463
Bin 255 eta: 0.872 mean: 0.000870348 sigma: 0.019362
Bin 256 eta: 0.888 mean: 0.000686995 sigma: 0.021355
Bin 257 eta: 0.904 mean: 0.00141232 sigma: 0.0203316
Bin 258 eta: 0.92 mean: 0.00108097 sigma: 0.0192546
Bin 259 eta: 0.936 mean: -5.0587e-05 sigma: 0.020134
Bin 260 eta: 0.952 mean: 0.000592348 sigma: 0.0206597
Bin 261 eta: 0.968 mean: 0.000336769 sigma: 0.0216679
Bin 262 eta: 0.984 mean: 0.000564919 sigma: 0.0255583
Bin 263 eta: 1 mean: 0.00220064 sigma: 0.0225496
Bin 264 eta: 1.016 mean: -0.000657337 sigma: 0.0242488
Bin 265 eta: 1.032 mean: 0.000881267 sigma: 0.0231855
Bin 266 eta: 1.048 mean: 0.000842718 sigma: 0.0240416
Bin 267 eta: 1.064 mean: 0.00010482 sigma: 0.021966
Bin 268 eta: 1.08 mean: -6.64296e-06 sigma: 0.0233568
Bin 269 eta: 1.096 mean: 0.000319046 sigma: 0.0224863
Bin 270 eta: 1.112 mean: 0.000397446 sigma: 0.0218747
Bin 271 eta: 1.128 mean: 0.00144203 sigma: 0.021079
Bin 272 eta: 1.144 mean: 0.00144644 sigma: 0.0197797
Bin 273 eta: 1.16 mean: 0.00115594 sigma: 0.0197437
Bin 274 eta: 1.176 mean: 0.000552122 sigma: 0.0202917
Bin 275 eta: 1.192 mean: 0.0010036 sigma: 0.0202254
Bin 276 eta: 1.208 mean: 0.00117875 sigma: 0.0193092
Bin 277 eta: 1.224 mean: 0.00131989 sigma: 0.0195855
Bin 278 eta: 1.24 mean: 0.000829383 sigma: 0.0194799
Bin 279 eta: 1.256 mean: 0.000900068 sigma: 0.0204216
Bin 280 eta: 1.272 mean: 0.000522076 sigma: 0.0201628
Bin 281 eta: 1.288 mean: 0.000335322 sigma: 0.0192956
Bin 282 eta: 1.304 mean: 0.000846351 sigma: 0.0195188
Bin 283 eta: 1.32 mean: 0.00114457 sigma: 0.0210289
Bin 284 eta: 1.336 mean: 0.000352664 sigma: 0.0203528
Bin 285 eta: 1.352 mean: 0.000601211 sigma: 0.0213354
Bin 286 eta: 1.368 mean: 0.000596631 sigma: 0.0199795
Bin 287 eta: 1.384 mean: 0.000322626 sigma: 0.0200409
Bin 288 eta: 1.4 mean: -0.000233654 sigma: 0.0205785
Bin 289 eta: 1.416 mean: 0.000883071 sigma: 0.02016
Bin 290 eta: 1.432 mean: 0.000742031 sigma: 0.0211128
Bin 291 eta: 1.448 mean: 0.00209786 sigma: 0.020844
Bin 292 eta: 1.464 mean: 0.000916233 sigma: 0.0210091
Bin 293 eta: 1.48 mean: -3.1125e-05 sigma: 0.0225912
Bin 294 eta: 1.496 mean: 0.00156937 sigma: 0.020038
Bin 295 eta: 1.512 mean: 0.00163183 sigma: 0.0201856
Bin 296 eta: 1.528 mean: 0.000652219 sigma: 0.0219431
Bin 297 eta: 1.544 mean: -0.000149086 sigma: 0.0210901
Bin 298 eta: 1.56 mean: 0.000636278 sigma: 0.020738
Bin 299 eta: 1.576 mean: 0.000184787 sigma: 0.0197619
Bin 300 eta: 1.592 mean: -1.72742e-05 sigma: 0.0196397
Bin 301 eta: 1.608 mean: -0.000308708 sigma: 0.0201465
Bin 302 eta: 1.624 mean: -0.000829796 sigma: 0.0179038
Bin 303 eta: 1.64 mean: -0.000348768 sigma: 0.0179099
Bin 304 eta: 1.656 mean: -0.000950368 sigma: 0.0164312
Bin 305 eta: 1.672 mean: -0.000323222 sigma: 0.0165714
Bin 306 eta: 1.688 mean: -0.000957794 sigma: 0.0157167
Bin 307 eta: 1.704 mean: -0.00025827 sigma: 0.0170542
Bin 308 eta: 1.72 mean: -0.00101388 sigma: 0.0157701
Bin 309 eta: 1.736 mean: -8.63118e-05 sigma: 0.0166397
Bin 310 eta: 1.752 mean: -0.000561772 sigma: 0.0164797
Bin 311 eta: 1.768 mean: -0.000461262 sigma: 0.015732
Bin 312 eta: 1.784 mean: -0.000693658 sigma: 0.0167212
Bin 313 eta: 1.8 mean: -0.000687565 sigma: 0.0165314
Bin 314 eta: 1.816 mean: 0.000702502 sigma: 0.0165819
Bin 315 eta: 1.832 mean: -0.000798753 sigma: 0.0160984
Bin 316 eta: 1.848 mean: -0.00107024 sigma: 0.0169593
Bin 317 eta: 1.864 mean: -0.000245165 sigma: 0.0161208
Bin 318 eta: 1.88 mean: -0.000985322 sigma: 0.0165074
Bin 319 eta: 1.896 mean: -0.000637595 sigma: 0.0157569
Bin 320 eta: 1.912 mean: 8.54208e-05 sigma: 0.0171152
Bin 321 eta: 1.928 mean: 0.000430856 sigma: 0.0162372
Bin 322 eta: 1.944 mean: -0.000475 sigma: 0.0164366
Bin 323 eta: 1.96 mean: -0.000695473 sigma: 0.0157128
Bin 324 eta: 1.976 mean: -0.000582639 sigma: 0.0148262
Bin 325 eta: 1.992 mean: -0.000426602 sigma: 0.015689
Bin 326 eta: 2.008 mean: 8.05672e-05 sigma: 0.0171577
Bin 327 eta: 2.024 mean: -0.000193762 sigma: 0.0172351
Bin 328 eta: 2.04 mean: -4.08323e-05 sigma: 0.0167142
Bin 329 eta: 2.056 mean: -0.0002456 sigma: 0.0172656
Bin 330 eta: 2.072 mean: -0.00141516 sigma: 0.0175569
Bin 331 eta: 2.088 mean: -0.000358091 sigma: 0.0180135
Bin 332 eta: 2.104 mean: 6.77056e-05 sigma: 0.0175316
Bin 333 eta: 2.12 mean: 0.000328338 sigma: 0.0199077
Bin 334 eta: 2.136 mean: 0.000945416 sigma: 0.0198388
Bin 335 eta: 2.152 mean: -0.000486196 sigma: 0.0199852
Bin 336 eta: 2.168 mean: 2.55014e-06 sigma: 0.0211552
Bin 337 eta: 2.184 mean: -0.00108453 sigma: 0.0216294
Bin 338 eta: 2.2 mean: -0.000851064 sigma: 0.0207542
Bin 339 eta: 2.216 mean: -0.000131509 sigma: 0.0215616
Bin 340 eta: 2.232 mean: 0.000283241 sigma: 0.019352
Bin 341 eta: 2.248 mean: -0.00173221 sigma: 0.0198355
Bin 342 eta: 2.264 mean: 0.000663804 sigma: 0.0193262
Bin 343 eta: 2.28 mean: 0.000301483 sigma: 0.0201686
Bin 344 eta: 2.296 mean: 0.000361254 sigma: 0.0187254
Bin 345 eta: 2.312 mean: -0.000316168 sigma: 0.0173425
Bin 346 eta: 2.328 mean: -0.00130456 sigma: 0.0180602
Bin 347 eta: 2.344 mean: -0.000154541 sigma: 0.0186504
Bin 348 eta: 2.36 mean: -7.26295e-05 sigma: 0.0176997
Bin 349 eta: 2.376 mean: -0.000218784 sigma: 0.017855
Bin 350 eta: 2.392 mean: 0.000204626 sigma: 0.017643
Bin 351 eta: 2.408 mean: -0.000648161 sigma: 0.01798
Bin 352 eta: 2.424 mean: -0.000562531 sigma: 0.0178835
Bin 353 eta: 2.44 mean: -0.000104846 sigma: 0.0176626
Bin 354 eta: 2.456 mean: -0.00110803 sigma: 0.0179657
Bin 355 eta: 2.472 mean: -0.000287727 sigma: 0.0193679
Bin 356 eta: 2.488 mean: -0.000955735 sigma: 0.018496
Bin 357 eta: 2.504 mean: -5.10601e-06 sigma: 0.0174102
Bin 358 eta: 2.52 mean: -0.000150146 sigma: 0.0191925
Bin 359 eta: 2.536 mean: -0.000146322 sigma: 0.0187354
Bin 360 eta: 2.552 mean: -0.000135197 sigma: 0.018317
Bin 361 eta: 2.568 mean: 0.000533089 sigma: 0.0192157
Bin 362 eta: 2.584 mean: -0.000368181 sigma: 0.019969
Bin 363 eta: 2.6 mean: -0.000577028 sigma: 0.0195568
Bin 364 eta: 2.616 mean: 0.000530905 sigma: 0.0205191
Bin 365 eta: 2.632 mean: -0.000224142 sigma: 0.0206182
Bin 366 eta: 2.648 mean: -0.000686421 sigma: 0.0203314
Bin 367 eta: 2.664 mean: -0.000595046 sigma: 0.0199161
Bin 368 eta: 2.68 mean: -0.00111833 sigma: 0.0199944
Bin 369 eta: 2.696 mean: 0.000405301 sigma: 0.0193797
Bin 370 eta: 2.712 mean: 0.000142687 sigma: 0.019833
Bin 371 eta: 2.728 mean: -0.0012334 sigma: 0.0189381
Bin 372 eta: 2.744 mean: -0.000493299 sigma: 0.0184143
Bin 373 eta: 2.76 mean: -0.000873102 sigma: 0.0180811
Bin 374 eta: 2.776 mean: -0.000296625 sigma: 0.0169839
Bin 375 eta: 2.792 mean: 0.000722546 sigma: 0.0180314
Bin 376 eta: 2.808 mean: -0.000379366 sigma: 0.0168132
Bin 377 eta: 2.824 mean: -0.000175669 sigma: 0.0175
Bin 378 eta: 2.84 mean: -0.000356494 sigma: 0.0165568
Bin 379 eta: 2.856 mean: -0.000739318 sigma: 0.0167111
Bin 380 eta: 2.872 mean: -0.000499485 sigma: 0.0173882
Bin 381 eta: 2.888 mean: -0.000103167 sigma: 0.0180227
Bin 382 eta: 2.904 mean: 0.000181092 sigma: 0.0170268
Bin 383 eta: 2.92 mean: 7.63801e-05 sigma: 0.0163829
Bin 384 eta: 2.936 mean: 0.000152078 sigma: 0.0171746
Bin 385 eta: 2.952 mean: -0.000803274 sigma: 0.0170198
Bin 386 eta: 2.968 mean: -0.000836033 sigma: 0.0156462
Bin 387 eta: 2.984 mean: -0.000364806 sigma: 0.0165658
Bin 388 eta: 3 mean: -0.000806043 sigma: 0.0162682
Bin 389 eta: 3.016 mean: -0.000209698 sigma: 0.0162057
Bin 390 eta: 3.032 mean: 7.35731e-05 sigma: 0.0163153
Bin 391 eta: 3.048 mean: -0.000919336 sigma: 0.0176141
Bin 392 eta: 3.064 mean: 7.59892e-07 sigma: 0.0162953
Bin 393 eta: 3.08 mean: -6.21309e-05 sigma: 0.0171355
Bin 394 eta: 3.096 mean: 0.000801607 sigma: 0.017605
Bin 395 eta: 3.112 mean: -0.000190642 sigma: 0.0174294
Bin 396 eta: 3.128 mean: -0.000831117 sigma: 0.017066
